module	version	go_sum_h1	go_mod_h1	declared_in
github.com/knz/go-libedit	v1.10.1		h1:MZTVkCWyz0oBc7JOWP3wNAzd002ZbM/5hgShxwh4x8M=	xroad-service/go.sum
github.com/konsorten/go-windows-terminal-sequences	v1.0.1		h1:T0+1ngSBFLxvqU3pZ+m/2kptfBszLMUkC4ZK/EgS/cQ=	core/go.sum
github.com/kr/logfmt	v0.0.0-20140226030751-b84e30acd515		h1:+0opPa2QZZtGFBFZlji/RkVcI2GknAs/DXo4wKdlNEc=	core/go.sum
github.com/kr/pretty	v0.1.0		h1:dAy3ld7l9f0ibDNOQOHHMYYIIbhfbHSm3C4ZsoJORNo=	core/go.sum
github.com/kr/pty	v1.1.1		h1:pFQYn66WHrOpPYNljwOMqo10TkYh1fy3cYio2l3bCsQ=	core/go.sum
github.com/kr/text	v0.1.0		h1:4Jbv+DJW3UT/LiOwJeYQe1efqtUx/iVham/4vfdArNI=	core/go.sum
github.com/leodido/go-urn	v1.4.0	h1:WT9HwE9SGECu3lg4d/dIA+jxlljEa1/ffXKmRjqdmIQ=	h1:bvxc+MVxLKB4z00jd1z+Dvzr47oO32F/QSNjSBOlFxI=	xroad-service/go.sum;xroad-service/go.sum
github.com/magiconair/properties	v1.8.0		h1:PppfXfuXeibc/6YijjN8zIbojt8czPbwD3XqdrwzmxQ=	core/go.sum
github.com/magiconair/properties	v1.8.1		h1:PppfXfuXeibc/6YijjN8zIbojt8czPbwD3XqdrwzmxQ=	core/go.sum
github.com/mattn/go-colorable	v0.0.9		h1:9vuHe8Xs5qXnSaW/c/ABM9alt+Vo+STaOChaDxuIBZU=	core/go.sum
github.com/mattn/go-isatty	v0.0.20	h1:xfD0iDuEKnDkl03q4limB+vH+GxLEtL/jb4xVJSWWEY=	h1:W+V8PltTTMOvKvAeJH7IuucS94S2C6jfK/D7dTCTo3Y=	xroad-service/go.sum;xroad-service/go.sum
